,team,opponent,goals,total_score,total_count,rank_difference,home
17511,Venezuela,Japan,1,604.0833333333334,15,21.25,0
3418,Bolivia,Chile,1,52.3,8,2.5,1
212,Thailand,South Korea,2,18.0,0,75.0,1
2986,Ethiopia,Uganda,1,21.6,4,17.0,0
23312,Guadeloupe,Saint Martin,3,0.0,1,0.0,0
17928,Thailand,Vietnam,3,228.91666666666663,8,18.749999999999982,1
360,Latvia,Republic of Ireland,0,10.0,0,93.0,0
2779,Serbia,Japan,0,0.0,4,-24.9,0
16013,England,Denmark,2,1161.0833333333333,4,-15.083333333333332,0
980,Lebanon,India,2,11.0,0,-2.0,0
3308,Czech Republic,Nigeria,2,58.0,5,-42.1,1
9175,Albania,Portugal,3,456.75,5,76.5,0
15349,Ghana,Serbia,1,853.0909090909091,6,7.0,0
12230,Kazakhstan,Azerbaijan,1,224.75,6,7.916666666666656,1
4290,Slovenia,Cyprus,0,33.1,4,10.900000000000004,0
14061,Qatar,Iran,0,398.83333333333326,11,83.66666666666667,1
13326,Oman,Yemen,0,378.58333333333326,11,-52.66666666666667,1
16927,Hungary,Poland,1,636.6666666666666,4,-27.08333333333333,0
5496,Saudi Arabia,Zambia,0,560.8333333333334,11,3.083333333333336,0
11493,Catalonia,Costa Rica,2,0.0,1,-42.90909090909091,1
17896,Indonesia,Cameroon,0,146.25,6,92.25,1
5754,Kuwait,Turkmenistan,6,479.33333333333326,1,-51.83333333333333,1
3617,United Arab Emirates,Bahrain,3,40.8,17,-52.3,1
5354,Brazil,Argentina,2,829.4166666666665,13,-5.666666666666668,1
2972,Panama,Guatemala,0,18.4,3,4.1000000000000085,0
24489,San Marino,Scotland,0,836.75,3,162.375,0
11982,Poland,Belgium,1,755.4545454545455,4,-26.09090909090909,0
10127,Greece,Turkey,0,672.6666666666666,3,14.75,1
9200,Burma,Iraq,0,0.0,2,-56.41666666666666,0
7144,Cuba,Haiti,0,489.33333333333326,6,-6.333333333333344,0
12544,Saudi Arabia,Singapore,2,518.4166666666666,6,-70.08333333333334,0
21739,Northern Ireland,Croatia,0,808.25,6,11.25,1
9427,Sweden,Norway,0,681.75,5,-18.25,1
8925,Jersey,Isle of Man,1,0.0,0,0.0,0
6946,Bulgaria,Northern Ireland,4,568.9166666666666,7,-48.16666666666667,1
22575,Hong Kong,Bahrain,0,192.75,5,20.41666666666667,1
